Timestamp,GeoJSON,UserName,description,action,ip_address,fingerprint,status,Unnamed: 8
08.04.2026 21:41:51,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.513644,55.941654],[37.515682,55.941936]]}}",админ,"⚠️🕳️ асфальт корявый, кочки и камни 🆘🛼💀",create,91.207.170.181,,,
08.04.2026 21:44:41,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.509309,55.942435],[37.516658,55.943661]]}}",админ,✅🛣️💨😎 асфальт положили  🟢🛼⚡🚀🆗 ,delete,91.207.170.181,wtzut8,,х
10.04.2026 0:08:44,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.486478,55.955069],[37.486467,55.954918],[37.487723,55.954444],[37.487744,55.954156]]}}",админ,Тут глина и камни 🆘🛼💀,create,176.97.130.16,1j3kpw,,я
19.04.2026 14:37:04,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.670438,55.601832],[37.673441,55.591206],[37.677002,55.586571]]}}",Иван,"асфальт разобрали, обе стороны полный ахтунг!",create,81.5.101.224,1j3kpw,,
04.05.2026 13:15:18,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.50627,55.946986],[37.506903,55.945639]]}}",admin,"тротуар разобран, плитка снята 🆘🛼💀",create,81.5.101.224,1j3kpw,,
10.05.2026 19:05:02,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.551731,55.944472],[37.552128,55.943396],[37.55231,55.943408],[37.551892,55.944508]]}}",admin,асфальт разобрали,create,81.5.101.224,1j3kpw,,
10.05.2026 19:06:26,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.546678,55.939935],[37.548287,55.935056]]}}",admin,"сужение проезжки, ремонт, камни",create,81.5.101.224,1j3kpw,,
13.05.2026 20:44:20,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.535819,55.922595],[37.535626,55.922354],[37.535626,55.921861],[37.536055,55.921188],[37.536033,55.920971]]}}",admin,"Тротуар сняли, проезжка свободна",create,81.5.101.224,1j3kpw,,
17.05.2026 19:21:12,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.51532,55.945667],[37.516371,55.94396]]}}",admin,камни и ямы,create,81.5.101.224,1j3kpw,,
20.05.2026 20:16:53,"{""geometry"":{""type"":""LineString"",""coordinates"":[[37.50627,55.946986],[37.506903,55.945639]]},""properties"":{""action"":""create"",""popup"":""<b>Achtung! </b>04-May\nadmin: \nтротуар разобран, плитка снята 🆘🛼💀"",""popup_min"":""<b>Achtung! </b>04-May\nadmin""},""type"":""Feature""}",админ,новый асфальт,delete,81.5.101.224,1j3kpw,,
21.06.2026 2:18:17,"{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""LineString"",""coordinates"":[[37.795179,55.672103],[37.792261,55.6688]]}}",Аноним,,create,,7gnq0t,,
